MeterNumber	Street	BlockLimits	StandardizedAddress	SegmentID	StreetCode	Side	Dist	Manufacturer	Model	Rate	DayFrom	DayTo	HourFrom	HourTo	HourLimit	MinLimit	DateInstlaled	Timer	ST
SM27001	B FRANKLIN PKWY	1600	1600 BENJAMIN FRANKLIN PKWY	421366	16880	S	34	POM	PBS	0.75	MON	SAT	0800A	1000P	12		7/1/2009	12HR	"I																			"
SM27003	JFK BLVD	1700	1700 JOHN F KENNEDY BLVD	421344	46170	S	34	POM	PBS	0.75	MON	SAT	0800A	1000P	12		7/1/2009	12HR	"I																			"
SM27004	JFK BLVD	1700	1700 JOHN F KENNEDY BLVD	421344	46170	S	34	POM	PBS	0.75	MON	SAT	0800A	1000P	12		7/1/2009	12HR	"B																			"
SM27031	N 11	101	101 N 11TH ST	440358	88010	E	40	POM	PBS	0.75	SUN	SAT	0800A	1000A	12		10/29/2010	24HR	"I																			"
SM27032	N 11	101	101 N 11TH ST	440358	88010	E	40	POM	PBS	0.75	SUN	SAT	0800A	1000A	12		10/29/2010	24HR	"I																			"
SM27040	N 11	1	1 N 11TH ST	4412850	88010	E	40	POM	PBS	0.75	SUN	SAT	0800A	1000A	12		3/8/2011	24HR	"I																			"
SM27041	ARCH	1301	1301 ARCH ST	440356	13000	N	41C	POM	PBS	0.75	SUN	SAT	0800A	1000P	12		3/1/2011	24HR	"I																			"
SM27042	ARCH	1301	1301 ARCH ST	440356	13000	N	41C	POM	PBS	0.75	SUN	SAT	0800A	1000P	12		3/1/2011	24HR	"I																			"
SM27043	ARCH	1301	1301 ARCH ST	440356	13000	N	41C	POM	PBS	0.75	SUN	SAT	0800A	1000P	12		3/1/2011	24HR	"I																			"
12F002	N 13	200	200 N 13TH ST	440972	88050	W	12	METRIC	P&D	2	SUN	SAT	0800A	0400P	2		12/14/2009	24HR	"I																			"
12F002	N 13	200	200 N 13TH ST	440972	88050	W				2	SUN	SAT	0400P	1000P	3	"					"	"										"	"				"	"I																			"
