Site ID,Intersection,Site Location,Warnings,Citations,Number of Approaches,Sensor Type
PI001,Roosevelt Blvd @ Grant Ave,N/B Roosevelt Blvd Svc @ Grant Ave,2/23/2005,6/23/2005,6,PLP
PI002,Roosevelt Blvd @ Grant Ave,N/B Roosevelt Blvd @ Grant Ave,2/23/2005,6/23/2005,6,PLP
PI003,Roosevelt Blvd @ Grant Ave,E/B Grant Ave @ Roosevelt Blvd,2/23/2005,6/23/2005,6,PLP
PI004,Roosevelt Blvd @ Grant Ave,S/B Roosevelt Blvd Svc @ Grant Ave,2/23/2005,6/23/2005,6,PLP
PI005,Roosevelt Blvd @ Grant Ave,S/B Roosevelt Blvd @ Grant Ave,2/23/2005,6/23/2005,6,PLP
PI006,Roosevelt Blvd @ Grant Ave,W/B Grant Ave @ Roosevelt Blvd,2/23/2005,6/23/2005,6,PLP
PI007,Roosevelt Blvd @ Red Lion Rd,N/B Roosevelt Blvd Svc @ Red Lion Rd,5/21/2005,9/18/2005,6,PLP
PI008,Roosevelt Blvd @ Red Lion Rd,N/B Roosevelt Blvd @ Red Lion Rd,5/21/2005,9/18/2005,6,PLP
PI009,Roosevelt Blvd @ Red Lion Rd,E/B Red Lion Rd @ Roosevelt Blvd,5/21/2005,9/18/2005,6,PLP
PI010,Roosevelt Blvd @ Red Lion Rd,S/B Roosevelt Blvd Svc @ Red Lion Rd,5/21/2005,9/18/2005,6,PLP
PI011,Roosevelt Blvd @ Red Lion Rd,S/B Roosevelt Blvd @ Red Lion Rd,5/21/2005,9/18/2005,6,PLP
PI012,Roosevelt Blvd @ Red Lion Rd,W/B Red Lion Rd @ Roosevelt Blvd,5/21/2005,9/18/2005,6,PLP
PI013,Roosevelt Blvd @ Cottman Ave,N/B Roosevelt Blvd @ Cottman Ave,8/25/2005,12/23/2005,4,PLP
PI014,Roosevelt Blvd @ Cottman Ave,E/B Cottman Ave @ Roosevelt Blvd,8/25/2005,12/23/2005,4,PLP
PI015,Roosevelt Blvd @ Cottman Ave,S/B Roosevelt Blvd @ Cottman Ave,8/25/2005,12/23/2005,4,PLP
PI016,Roosevelt Blvd @ Cottman Ave,W/B Cottman Ave @ Roosevelt Blvd,8/25/2005,12/23/2005,4,PLP
PI017,Broad St @ Oregon Ave,N/B Broad St @ Oregon Ave,10/31/2006,1/1/2007,4,PLP
PI018,Broad St @ Oregon Ave,E/B Oregon Ave @ Broad St,10/31/2006,1/1/2007,4,PLP
PI019,Broad St @ Oregon Ave,S/B Broad St @ Oregon Ave,10/31/2006,1/1/2007,4,PLP
PI020,Broad St @ Oregon Ave,W/B Oregon Ave @ Broad St,10/31/2006,1/1/2007,4,PLP
